Año,Trimestre,Provincia,Accesos por cada 100 hogares,Accesos por cada 100 hab
2022,1,Catamarca,58.20635083561171,14.805619574995312
2022,1,Chaco,44.05948009941883,11.775342040436145
2022,1,Chubut,88.05274093835774,26.988759663104396
2022,1,Córdoba,85.75745356313551,26.255262218351167
2022,1,Corrientes,47.644635141502334,12.545281287312793
2022,1,Entre Ríos,63.70090347123158,19.04540527092108
2022,1,Formosa,34.955686995751336,8.896427435598431
2022,1,Jujuy,58.06462866426784,14.847641828629394
2022,1,La Pampa,91.66332531408715,30.200415031402574
2022,1,La Rioja,78.77459866564503,20.96917417226944
2022,1,Mendoza,48.73524093558345,13.5994765497552
2022,1,Misiones,49.04334199772953,13.357539336702546
2022,1,Neuquén,74.17305509992715,22.07746042609429
2022,1,Río Negro,67.03640754987029,20.61822984084394
2022,1,Salta,56.10759340849759,13.588166053353753
2022,1,San Juan,43.54598160933163,11.092116468606637
2022,1,San Luis,80.72423060601774,23.101656231687382
2022,1,Santa Cruz,43.33842311053054,12.894297328809571
2022,1,Santa Fe,77.30458474758402,24.307396998934415
2022,1,Santiago Del Estero,47.17273839324049,11.706882132029497
2022,1,Tierra Del Fuego,98.29055038672794,29.13865104068589
2022,1,Tucumán,57.39003227231194,14.215533334298076
2021,4,Buenos Aires,75.66410602338475,25.36251411440295
2021,4,Capital Federal,111.27002612891737,45.848510714562856
2021,4,Catamarca,55.2526999859741,14.054223759225387
2021,4,Chaco,44.04856389025934,11.772399458164147
2021,4,Chubut,82.57340063871433,25.309325144656967
2021,4,Córdoba,84.50941853046088,25.873153715537683
2021,4,Corrientes,45.51016102946347,11.983198552620907
2021,4,Entre Ríos,63.155361436165784,18.88227767661483
2021,4,Formosa,34.4545746388443,8.768865242200624
2021,4,Jujuy,56.921070514870486,14.555241944242491
2021,4,La Pampa,89.56734270241313,29.509892061530994
2021,4,La Rioja,77.9234900964576,20.742382050283958
2021,4,Mendoza,47.505317090317746,13.25625900699059
2021,4,Misiones,49.06462073058497,13.363319043268442
2021,4,Neuquén,73.30016254020012,21.817563119077384
2021,4,Río Negro,65.69489961160652,20.205613568445425
2021,4,Salta,56.81442605762217,13.759337691497715
2021,4,San Juan,39.588851864871685,10.084133235970333
2021,4,San Luis,80.29578283135379,22.97895624197615
2021,4,Santa Cruz,43.05121466117346,12.808821353847454
2021,4,Santa Fe,77.08920179439227,24.23965799751964
2021,4,Santiago Del Estero,47.0459491943867,11.675440470480114
2021,4,Tierra Del Fuego,98.40061644865433,29.171007839182543
2021,4,Tucumán,55.92599102424391,13.852880446424063
2021,3,Buenos Aires,71.68218940101933,23.96989190399953
2021,3,Capital Federal,111.27105514250894,45.90038346526859
2021,3,Catamarca,52.709793486001274,13.407472376612356
2021,3,Chaco,42.96241007967663,11.48213456009956
2021,3,Chubut,80.70973847657562,24.738375502880167
2021,3,Córdoba,81.2845665540848,24.885957628675673
2021,3,Corrientes,44.90088312664412,11.8228555121759
2021,3,Entre Ríos,62.17940145385769,18.590565595869126
2021,3,Formosa,33.962033540684324,8.643582187295351
2021,3,Jujuy,55.6892647441935,14.240381868423986
2021,3,La Pampa,84.27996309653611,27.767891191051227
2021,3,La Rioja,77.26016061386845,20.565964530219404
2021,3,Mendoza,45.54828468056102,12.710228113581037
2021,3,Misiones,45.57065365808786,12.411772581325813
2021,3,Neuquén,69.70653344501615,20.74816202113861
2021,3,Río Negro,61.967213114754095,19.05925062746504
2021,3,Salta,55.964278059584196,13.55352602212216
2021,3,San Juan,39.4554480019856,10.050236642022515
2021,3,San Luis,79.87043349212911,22.857408818789526
2021,3,Santa Cruz,43.74732028012005,13.016254371883871
2021,3,Santa Fe,75.01704762728227,23.58815244581783
2021,3,Santiago Del Estero,47.0,11.660736690891678
2021,3,Tierra Del Fuego,94.95386825985027,28.150170112829368
2021,3,Tucumán,54.63604486100796,13.533446775711843
2021,2,Buenos Aires,70.00330336027972,23.35247372787298
2021,2,Capital Federal,110.14440203212098,45.48719048129489
2021,2,Catamarca,52.34030966263861,13.313748671467298
2021,2,Chaco,43.32762729293539,11.580041340539402
2021,2,Chubut,72.29410481936469,22.159781771420207
2021,2,Córdoba,80.11518795931242,24.528406291253745
2021,2,Corrientes,43.5411637336848,11.465064580129559
2021,2,Entre Ríos,61.660264464787886,18.435680632917915
2021,2,Formosa,33.22548419322613,8.456293049570467
2021,2,Jujuy,56.182157011467694,14.366784069218694
2021,2,La Pampa,82.08000672325404,27.043558440191944
2021,2,La Rioja,76.9786615851933,20.49158509575061
2021,2,Mendoza,40.97324182617088,11.433847066800618
2021,2,Misiones,45.0128113119994,12.26014659485293
2021,2,Neuquén,69.14021084638621,20.58023612564588
2021,2,Río Negro,61.94204057417748,19.052051860128394
2021,2,Salta,54.930090174788894,13.303441391384512
2021,2,San Juan,39.28402570062062,10.00671906693712
